,zip_code,total,non_hispanic_tot,Not Hispanic or Latino householder: - Householder who is White alone,Not Hispanic or Latino householder: - Householder who is Black or African American alone,Not Hispanic or Latino householder: - Householder who is American Indian and Alaska Native alone,Not Hispanic or Latino householder: - Householder who is Asian alone,Not Hispanic or Latino householder: - Householder who is Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino householder: - Householder who is Some other race alone,Not Hispanic or Latino householder: - Householder who is Two or more races,hispanic_tot,Hispanic or Latino householder: - Householder who is White alone,Hispanic or Latino householder: - Householder who is Black or African American alone,Hispanic or Latino householder: - Householder who is American Indian and Alaska Native alone,Hispanic or Latino householder: - Householder who is Asian alone,Hispanic or Latino householder: - Householder who is Native Hawaiian and Other Pacific Islander alone,Hispanic or Latino householder: - Householder who is Some other race alone,Hispanic or Latino householder: - Householder who is Two or more races,Id_zip,per_capita_income_2017_estimate,per_capita_income_2017_margin,white_tot,black_tot,indian_tot,asian_tot,native_tot,other_tot,mixed_tot
61,75644,7428,7252,6297,862,27,4,0,2,60,176,56,6,4,0,2,100,8,8600000US75644,23031.0,2662.0,7428,6353,868,31,4,2,102
62,47553,3043,3035,3008,2,4,7,0,0,14,8,8,0,0,0,0,0,0,8600000US47553,23337.0,1632.0,3043,3016,2,4,7,0,0
63,84770,10808,10182,9819,18,149,36,68,6,86,626,308,3,9,2,0,269,35,8600000US84770,23209.0,1328.0,10808,10127,21,158,38,68,275
64,73129,7207,6017,4582,782,362,49,2,1,239,1190,382,8,33,3,1,697,66,8600000US73129,14042.0,1524.0,7207,4964,790,395,52,3,698
65,76109,10358,9841,9245,300,32,164,5,2,93,517,299,2,4,1,1,182,28,8600000US76109,54663.0,4750.0,10358,9544,302,36,165,6,184
66,98045,5068,4960,4764,24,42,56,10,4,60,108,61,1,1,0,0,35,10,8600000US98045,45528.0,3391.0,5068,4825,25,43,56,10,39
67,30114,7886,7468,7111,257,22,29,1,2,46,418,187,2,7,0,1,197,24,8600000US30114,31747.0,2330.0,7886,7298,259,29,29,2,199
68,21227,13068,12853,10909,1466,26,326,3,5,118,215,110,5,2,1,2,79,16,8600000US21227,27897.0,1380.0,13068,11019,1471,28,327,5,84
69,52803,9724,9382,8025,1114,31,106,1,4,101,342,171,10,1,1,0,134,25,8600000US52803,26384.0,1865.0,9724,8196,1124,32,107,1,138
70,93638,12820,6438,5405,549,119,144,9,19,193,6382,2231,38,186,12,2,3544,369,8600000US93638,14324.0,939.0,12820,7636,587,305,156,11,3563
71,64138,10262,10075,7238,2586,31,76,8,7,129,187,115,7,3,0,0,52,10,8600000US64138,23365.0,1437.0,10262,7353,2593,34,76,8,59
72,55355,3755,3669,3651,2,5,6,0,0,5,86,17,0,1,1,0,64,3,8600000US55355,29986.0,1895.0,3755,3668,2,6,7,0,64
73,15101,8830,8789,8573,62,2,128,2,2,20,41,39,1,0,0,0,1,0,8600000US15101,43905.0,2703.0,8830,8612,63,2,128,2,3
74,54467,4516,4473,4407,15,10,21,1,0,19,43,23,0,3,0,0,12,5,8600000US54467,30605.0,2483.0,4516,4430,15,13,21,1,12
75,48223,12394,12276,2103,9838,46,103,4,13,169,118,37,37,4,2,1,24,13,8600000US48223,19330.0,1208.0,12394,2140,9875,50,105,5,37
76,7747,10897,10444,8928,516,6,873,3,14,104,453,333,16,1,7,0,70,26,8600000US07747,45939.0,1702.0,10897,9261,532,7,880,3,84
77,34442,4662,4602,4442,73,14,38,0,2,33,60,46,1,2,0,1,5,5,8600000US34442,31002.0,2277.0,4662,4488,74,16,38,1,7
78,30176,2601,2592,2461,92,6,11,0,0,22,9,4,0,0,1,0,4,0,8600000US30176,22459.0,3169.0,2601,2465,92,6,12,0,4
79,60070,6063,5011,4591,114,5,243,0,0,58,1052,459,7,9,0,0,520,57,8600000US60070,32223.0,2580.0,6063,5050,121,14,243,0,520
80,32707,13785,12292,11209,615,30,244,4,25,165,1493,1056,30,9,3,0,313,82,8600000US32707,25863.0,1966.0,13785,12265,645,39,247,4,338
81,63401,8645,8580,8013,436,20,22,2,2,85,65,39,2,4,0,0,9,11,8600000US63401,22172.0,1155.0,8645,8052,438,24,22,2,11
82,34769,7214,6655,6396,107,32,43,2,1,74,559,359,23,6,0,1,139,31,8600000US34769,22068.0,2549.0,7214,6755,130,38,43,3,140
83,59105,8614,8455,8140,25,166,39,3,2,80,159,82,1,6,2,1,57,10,8600000US59105,32347.0,1870.0,8614,8222,26,172,41,4,59
84,53549,3752,3606,3560,6,13,8,2,0,17,146,71,1,2,0,0,65,7,8600000US53549,26967.0,1351.0,3752,3631,7,15,8,2,65
85,45239,12063,11950,10256,1490,29,84,2,9,80,113,43,6,0,3,1,47,13,8600000US45239,26840.0,2061.0,12063,10299,1496,29,87,3,56
86,91001,12379,10610,5172,4583,37,449,8,26,335,1769,735,59,27,8,1,812,127,8600000US91001,43263.0,2529.0,12379,5907,4642,64,457,9,838
87,92128,18818,18049,15368,360,36,1975,34,18,258,769,490,5,8,10,2,197,57,8600000US92128,47359.0,2063.0,18818,15858,365,44,1985,36,215
88,77079,11977,11093,9761,329,23,821,1,8,150,884,582,7,10,1,0,233,51,8600000US77079,56154.0,4544.0,11977,10343,336,33,822,1,241
89,78207,15429,911,472,352,32,23,2,5,25,14518,9150,46,177,5,4,4580,556,8600000US78207,11900.0,612.0,15429,9622,398,209,28,6,4585
90,7719,8915,8705,8423,143,11,75,2,9,42,210,137,5,1,1,0,53,13,8600000US07719,47973.0,2891.0,8915,8560,148,12,76,2,62
91,63111,8986,8713,6614,1756,30,128,2,11,172,273,139,8,3,2,0,97,24,8600000US63111,16988.0,1201.0,8986,6753,1764,33,130,2,108
92,61520,6998,6969,6872,34,13,20,0,0,30,29,20,0,0,0,0,8,1,8600000US61520,23243.0,1622.0,6998,6892,34,13,20,0,8
93,19465,5385,5356,5220,78,4,29,0,4,21,29,21,0,0,0,0,5,3,8600000US19465,42256.0,2837.0,5385,5241,78,4,29,0,9
94,92201,16538,7093,6136,451,64,274,7,18,143,9445,3813,39,99,31,5,5055,403,8600000US92201,19987.0,955.0,16538,9949,490,163,305,12,5073
95,1151,3339,2881,2486,304,9,21,0,2,59,458,144,25,1,0,2,269,17,8600000US01151,18717.0,1673.0,3339,2630,329,10,21,2,271
96,49418,9064,8884,8609,132,26,70,1,4,42,180,119,3,1,0,0,49,8,8600000US49418,32323.0,2338.0,9064,8728,135,27,70,1,53
97,28379,10309,10158,7441,2446,126,61,1,1,82,151,68,7,3,1,2,61,9,8600000US28379,21243.0,1563.0,10309,7509,2453,129,62,3,62
98,68137,9351,9168,8901,103,12,98,4,4,46,183,128,1,2,1,0,44,7,8600000US68137,30634.0,1265.0,9351,9029,104,14,99,4,48
99,65737,2632,2599,2550,2,17,1,1,0,28,33,25,0,1,0,0,7,0,8600000US65737,25331.0,3655.0,2632,2575,2,18,1,1,7
100,11598,4232,4086,3926,33,1,97,0,7,22,146,97,1,0,1,0,41,6,8600000US11598,53159.0,5254.0,4232,4023,34,1,98,0,48
101,33040,14527,12178,10858,946,43,130,3,15,183,2349,2001,57,6,2,0,195,88,8600000US33040,34434.0,1575.0,14527,12859,1003,49,132,3,210
102,17103,4656,4406,1578,2672,12,44,1,7,92,250,69,24,5,2,0,124,26,8600000US17103,18161.0,1962.0,4656,1647,2696,17,46,1,131
103,32257,14856,14231,12429,1163,39,407,5,16,172,625,437,18,4,2,0,123,41,8600000US32257,31003.0,1876.0,14856,12866,1181,43,409,5,139
104,49307,6561,6487,5897,380,34,95,2,4,75,74,50,0,3,2,0,14,5,8600000US49307,19800.0,1489.0,6561,5947,380,37,97,2,18
105,97501,14286,13248,12651,56,169,87,18,5,262,1038,432,5,19,1,2,463,116,8600000US97501,20717.0,1022.0,14286,13083,61,188,88,20,468
106,48081,9308,9242,9102,17,14,35,3,4,67,66,54,1,1,1,0,8,1,8600000US48081,33885.0,3041.0,9308,9156,18,15,36,3,12
107,7023,2574,2497,2285,112,1,83,1,1,14,77,61,1,0,0,0,13,2,8600000US07023,50993.0,4266.0,2574,2346,113,1,83,1,14
108,75087,5804,5540,5279,144,20,64,1,2,30,264,141,1,2,0,0,107,13,8600000US75087,39009.0,2208.0,5804,5420,145,22,64,1,109
109,92260,13899,12433,11911,100,43,244,11,5,119,1466,842,11,20,1,1,509,82,8600000US92260,36794.0,2454.0,13899,12753,111,63,245,12,514
110,48180,24776,24137,21399,2007,132,297,2,10,290,639,433,9,9,3,0,135,50,8600000US48180,22174.0,714.0,24776,21832,2016,141,300,2,145
111,94590,14257,12173,6447,3588,107,1404,107,25,495,2084,760,38,34,30,10,1038,174,8600000US94590,24430.0,1127.0,14257,7207,3626,141,1434,117,1063
112,73521,8509,7438,6327,807,106,70,11,2,115,1071,328,5,5,1,1,669,62,8600000US73521,22655.0,1314.0,8509,6655,812,111,71,12,671
113,40014,5125,5080,4954,79,9,15,0,3,20,45,25,2,1,0,0,15,2,8600000US40014,39497.0,2117.0,5125,4979,81,10,15,0,18
114,30504,5179,4207,3783,268,13,113,0,0,30,972,427,5,8,4,22,459,47,8600000US30504,20703.0,1635.0,5179,4210,273,21,117,22,459
115,75206,20442,16036,13924,966,80,756,4,30,276,4406,2110,25,21,4,3,2023,220,8600000US75206,49708.0,2486.0,20442,16034,991,101,760,7,2053
116,19707,5283,5211,4749,123,5,313,1,0,20,72,59,0,0,0,0,9,4,8600000US19707,58021.0,7014.0,5283,4808,123,5,313,1,9
117,49601,7978,7928,7805,8,37,27,1,1,49,50,28,0,3,0,3,13,3,8600000US49601,23794.0,1297.0,7978,7833,8,40,27,4,14
118,30531,3823,3515,3194,180,5,103,6,0,27,308,161,7,2,2,0,123,13,8600000US30531,20485.0,2291.0,3823,3355,187,7,105,6,123
119,17340,3589,3571,3532,10,4,8,0,2,15,18,9,1,1,0,0,4,3,8600000US17340,30955.0,1703.0,3589,3541,11,5,8,0,6
